"year","occupancy","n","abundance","t_occupancy","t_abundance","species_id","species"
2008,0.276103896103896,3850,222.289771650467,-0.96387064914,2.34691947971222,11,"Hediste diversicolor"
2009,0.296484736355227,4324,233.247395120682,-0.864093835338623,2.36781680229622,11,"Hediste diversicolor"
2010,0.336225087924971,4265,226.937085555491,-0.680162263952334,2.35590547312614,11,"Hediste diversicolor"
2011,0.342894679220495,4567,177.047437121928,-0.650420968889619,2.24808964444143,11,"Hediste diversicolor"
2012,0.323993358239934,4818,145.310376528487,-0.735479884760801,2.16229662811879,11,"Hediste diversicolor"
2013,0.386174890083048,4094,276.231306536684,-0.46341970033412,2.44127289757946,11,"Hediste diversicolor"
2014,0.435651929034075,3551,263.84480191223,-0.258827611631689,2.42134854242797,11,"Hediste diversicolor"
2015,0.354538401861908,1289,210.199808030569,-0.599149049927004,2.32263231506376,11,"Hediste diversicolor"
2008,0.200519480519481,3850,61.8099125658594,-1.38305076437405,1.79105812925447,16,"Nephtys hombergii"
2009,0.145235892691952,4324,59.7014730809572,-1.77246626629338,1.77598504709316,16,"Nephtys hombergii"
2010,0.0710433763188746,4265,62.9864304971834,-2.57077142174913,1.79924699715283,16,"Nephtys hombergii"
2011,0.0691920297788483,4567,53.1731635232878,-2.59916731477188,1.72569249931806,16,"Nephtys hombergii"
2012,0.109381486093815,4818,51.9538394878642,-2.09707453645016,1.71561764827003,16,"Nephtys hombergii"
2013,0.120175867122618,4094,51.0589165083248,-1.99076580924359,1.70807159465451,16,"Nephtys hombergii"
2014,0.129259363559561,3551,48.6117980110137,-1.90752319964677,1.68674168467916,16,"Nephtys hombergii"
2015,0.134212567882079,1289,55.8047166502788,-1.86421454844348,1.74667090733579,16,"Nephtys hombergii"
2008,0.480519480519481,3850,325.133539891129,-0.0779615414697118,2.51206177244387,20,"Scoloplos armiger"
2009,0.599676225716929,4324,547.621277814223,0.404116230362455,2.73848031429354,20,"Scoloplos armiger"
2010,0.58968347010551,4265,464.908967985249,0.36265701561628,2.66736792370286,20,"Scoloplos armiger"
2011,0.660389752572805,4567,648.384050638659,0.665031565951308,2.81183232325727,20,"Scoloplos armiger"
2012,0.716479867164799,4818,800.998402620963,0.927067012072583,2.90363164999985,20,"Scoloplos armiger"
2013,0.671226184660479,4094,764.226915917306,0.713736143137567,2.88322232938551,20,"Scoloplos armiger"
2014,0.633624331174317,3551,485.899341799152,0.54779701668596,2.68654631076667,20,"Scoloplos armiger"
2015,0.60822342901474,1289,398.886319863147,0.439850591075048,2.60084914207613,20,"Scoloplos armiger"
2008,0.191688311688312,3850,651.166219303476,-1.43907706069781,2.81369186247293,29,"Marenzelleria viridis"
2009,0.23936170212766,4324,650.294041839678,-1.15618214048959,2.81310977490901,29,"Marenzelleria viridis"
2010,0.511840562719812,4265,1779.5884437835,0.0473711073750295,3.25031957688195,29,"Marenzelleria viridis"
2011,0.389533610685351,4567,450.641004970008,-0.449273084214579,2.65383070674416,29,"Marenzelleria viridis"
2012,0.288293897882939,4818,464.745189907547,-0.903684609708577,2.66721490353824,29,"Marenzelleria viridis"
2013,0.273815339521251,4094,1727.55209757583,-0.975350399925938,3.23743115320892,29,"Marenzelleria viridis"
2014,0.15122500704027,3551,228.777405691201,-1.72502528467758,2.35941313083703,29,"Marenzelleria viridis"
2015,0.440651667959659,1289,1012.65632682392,-0.238517718563798,3.00546208041648,29,"Marenzelleria viridis"
2008,0.144675324675325,3850,94.2513539722056,-1.77698904244908,1.97428759780021,37,"Heteromastus filiformis"
2009,0.21322849213691,4324,91.2358997588582,-1.30557354939921,1.96016575937406,37,"Heteromastus filiformis"
2010,0.181946072684642,4265,112.81959711207,-1.50321792100356,2.05238454449133,37,"Heteromastus filiformis"
2011,0.245675498138822,4567,120.146904088647,-1.12181109736512,2.07971258450705,37,"Heteromastus filiformis"
2012,0.264425072644251,4818,147.360239047305,-1.02309447559286,2.16838031736445,37,"Heteromastus filiformis"
2013,0.245969711773327,4094,145.332346708288,-1.1202241317836,2.16236228624204,37,"Heteromastus filiformis"
2014,0.275133765136581,3551,135.263743209319,-0.968729736113289,2.13118140166583,37,"Heteromastus filiformis"
2015,0.278510473235066,1289,171.857324667654,-0.951862197659023,2.23516804677265,37,"Heteromastus filiformis"
2008,0.174025974025974,3850,63.1639187988307,-1.55735876338921,1.80046906655336,39,"Arenicola marina"
2009,0.285152636447734,4324,127.299337867402,-0.919044438967772,2.10482614472764,39,"Arenicola marina"
2010,0.349589683470105,4265,105.592812491319,-0.620843286110038,2.02363435757664,39,"Arenicola marina"
2011,0.322531202102036,4567,74.1603758596334,-0.742163614670381,1.87017192223341,39,"Arenicola marina"
2012,0.272104607721046,4818,58.4657188080188,-0.983970766376478,1.76690129349307,39,"Arenicola marina"
2013,0.324621397166585,4094,76.3813802857625,-0.73261385524319,1.88298750223151,39,"Arenicola marina"
2014,0.278231484088989,3551,57.1517125561963,-0.953251028616203,1.75702924859941,39,"Arenicola marina"
2015,0.34910783553142,1289,88.0531264341654,-0.622963123702841,1.94474478073488,39,"Arenicola marina"
2008,0.258701298701299,3850,539.918270007454,-1.05272954045218,2.7323280235801,42,"Lanice conchilega"
2009,0.213691026827012,4324,329.922781145254,-1.30281863896257,2.51841230458471,42,"Lanice conchilega"
2010,0.245252051582649,4265,341.358193823839,-1.12409738667394,2.53321033194167,42,"Lanice conchilega"
2011,0.157214801839282,4567,204.974092789022,-1.67909908423552,2.31169897291047,42,"Lanice conchilega"
2012,0.0784557907845579,4818,191.710163734874,-2.46351545980668,2.28264513810999,42,"Lanice conchilega"
2013,0.141182217879824,4094,345.908076082309,-1.80550539013269,2.53896070181499,42,"Lanice conchilega"
2014,0.194311461560124,3551,742.590691869619,-1.42223489545881,2.87074950118559,42,"Lanice conchilega"
2015,0.231962761830877,1289,710.088730696105,-1.19726136973795,2.85131262033029,42,"Lanice conchilega"
2008,0.0636363636363636,3850,6076.20464102735,-2.68881883917432,3.78363239207889,45,"Peringia ulvae"
2009,0.123034227567068,4324,7523.28868532118,-1.96400537403327,3.87640772698422,45,"Peringia ulvae"
2010,0.169988276670574,4265,9499.12807886833,-1.58571035127315,3.9776837434031,45,"Peringia ulvae"
2011,0.246551346617035,4567,12203.7210391134,-1.11709059709784,4.08649227168764,45,"Peringia ulvae"
2012,0.257990867579909,4818,13222.2327514595,-1.0564373636174,4.1213047977943,45,"Peringia ulvae"
2013,0.27161700048852,4094,13208.2685895136,-0.986434020514156,4.12084589170217,45,"Peringia ulvae"
2014,0.20107012109265,3551,10938.7767179433,-1.37961947246927,4.03896875761427,45,"Peringia ulvae"
2015,0.17532971295578,1289,6206.19270423211,-1.54831537906966,3.79282525643753,45,"Peringia ulvae"
2008,0.0168831168831169,3850,336.645152418946,-4.06441389597591,2.52717236514925,50,"Mytilus edulis"
2009,0.0453283996299722,4324,1058.68378171072,-3.04743364793088,3.02476626004526,50,"Mytilus edulis"
2010,0.0260257913247362,4265,314.882998857417,-3.62229680312372,2.49814921286985,50,"Mytilus edulis"
2011,0.0280271513028246,4567,279.053466719888,-3.54615414091442,2.44568742218673,50,"Mytilus edulis"
2012,0.0321710253217103,4818,537.243487468859,-3.40398917988907,2.73017115962466,50,"Mytilus edulis"
2013,0.0525158768930142,4094,1050.84853696747,-2.8926946393123,3.02154012392591,50,"Mytilus edulis"
2014,0.0321036327794987,3551,571.658561433074,-3.40615582845534,2.75713671207922,50,"Mytilus edulis"
2015,0.0318076027928627,1289,363.622488986525,-3.41572548222507,2.56065073522298,50,"Mytilus edulis"
2008,0.214285714285714,3850,236.925146661451,-1.29928298413026,2.37461115813399,52,"Cerastoderma edule"
2009,0.229185938945421,4324,224.771550256941,-1.21291354397775,2.35174134093473,52,"Cerastoderma edule"
2010,0.189917936694021,4265,230.039853555669,-1.45054348853529,2.3618030824521,52,"Cerastoderma edule"
2011,0.389314648565798,4567,1309.15711813759,-0.450193971553639,3.11699177141352,52,"Cerastoderma edule"
2012,0.349937733499377,4818,524.236660831121,-0.619312918548893,2.71952738868218,52,"Cerastoderma edule"
2013,0.293356130923302,4094,380.436943182012,-0.879139482896152,2.58028268345218,52,"Cerastoderma edule"
