"year","occupancy","n","biomass","t_occupancy","t_biomass","species_id","species"
2008,0.276103896103896,3850,3.68025615353285,-0.96387064914,0.565878047530656,11,"Hediste diversicolor"
2009,0.296484736355227,4324,3.12150945874345,-0.864093835338623,0.494364655260857,11,"Hediste diversicolor"
2010,0.336225087924971,4265,2.83220869031891,-0.680162263952334,0.452125251035639,11,"Hediste diversicolor"
2011,0.342894679220495,4567,2.57681749743675,-0.650420968889619,0.411083660823755,11,"Hediste diversicolor"
2012,0.323993358239934,4818,2.06794347284478,-0.735479884760801,0.315538663161211,11,"Hediste diversicolor"
2013,0.386174890083048,4094,2.18980901592235,-0.46341970033412,0.340406239521444,11,"Hediste diversicolor"
2014,0.435651929034075,3551,3.62609930652571,-0.258827611631689,0.559439693770951,11,"Hediste diversicolor"
2015,0.354538401861908,1289,3.38186483561295,-0.599149049927004,0.52915624598186,11,"Hediste diversicolor"
2008,0.200519480519481,3850,1.31862466419213,-1.38305076437405,0.120121194737251,16,"Nephtys hombergii"
2009,0.145235892691952,4324,1.37007915157915,-1.77246626629338,0.136745657741144,16,"Nephtys hombergii"
2010,0.0710433763188746,4265,1.5988709262402,-2.57077142174913,0.203813405407132,16,"Nephtys hombergii"
2011,0.0691920297788483,4567,1.35997747617033,-2.59916731477188,0.133531715682025,16,"Nephtys hombergii"
2012,0.109381486093815,4818,1.66225902991055,-2.09707453645016,0.22069870085319,16,"Nephtys hombergii"
2013,0.120175867122618,4094,1.25525281769266,-1.99076580924359,0.0987312049175278,16,"Nephtys hombergii"
2014,0.129259363559561,3551,1.56300789489513,-1.90752319964677,0.193961171685681,16,"Nephtys hombergii"
2015,0.134212567882079,1289,1.54284440021199,-1.86421454844348,0.188322128566832,16,"Nephtys hombergii"
2008,0.480519480519481,3850,0.737947224087341,-0.0779615414697118,-0.13197469658783,20,"Scoloplos armiger"
2009,0.599676225716929,4324,0.848806097389894,0.404116230362455,-0.0711915093455544,20,"Scoloplos armiger"
2010,0.58968347010551,4265,1.54576803615481,0.36265701561628,0.18914432258596,20,"Scoloplos armiger"
2011,0.660389752572805,4567,1.86598313875311,0.665031565951308,0.270907715091313,20,"Scoloplos armiger"
2012,0.716479867164799,4818,2.14532950353827,0.927067012072583,0.331494005415061,20,"Scoloplos armiger"
2013,0.671226184660479,4094,2.25722494734459,0.713736143137567,0.353574841542281,20,"Scoloplos armiger"
2014,0.633624331174317,3551,1.38568397378798,0.54779701668596,0.14166419413609,20,"Scoloplos armiger"
2015,0.60822342901474,1289,1.19786196904472,0.439850591075048,0.0784067767044581,20,"Scoloplos armiger"
2008,0.191688311688312,3850,1.0429238417009,-1.43907706069781,0.0182525957355848,29,"Marenzelleria viridis"
2009,0.23936170212766,4324,0.984261663312938,-1.15618214048959,-0.00688943020048316,29,"Marenzelleria viridis"
2010,0.511840562719812,4265,0.840780837897793,0.0473711073750295,-0.075317194803413,29,"Marenzelleria viridis"
2011,0.389533610685351,4567,0.842441895920637,-0.449273084214579,-0.074460043158393,29,"Marenzelleria viridis"
2012,0.288293897882939,4818,1.34194508175179,-0.903684609708577,0.127734742971434,29,"Marenzelleria viridis"
2013,0.273815339521251,4094,1.93012986687043,-0.975350399925938,0.285586531063599,29,"Marenzelleria viridis"
2014,0.15122500704027,3551,0.893368017911936,-1.72502528467758,-0.0489695990916076,29,"Marenzelleria viridis"
2015,0.440651667959659,1289,0.579270137643997,-0.238517718563798,-0.237118859539457,29,"Marenzelleria viridis"
2008,0.144675324675325,3850,0.231712550502157,-1.77698904244908,-0.635050442402447,37,"Heteromastus filiformis"
2009,0.21322849213691,4324,0.267716795990598,-1.30557354939921,-0.572324381232896,37,"Heteromastus filiformis"
2010,0.181946072684642,4265,0.326477113074031,-1.50321792100356,-0.486147258536063,37,"Heteromastus filiformis"
2011,0.245675498138822,4567,0.335470306336259,-1.12181109736512,-0.474345914734988,37,"Heteromastus filiformis"
2012,0.264425072644251,4818,0.412023132554233,-1.02309447559286,-0.385078400329412,37,"Heteromastus filiformis"
2013,0.245969711773327,4094,0.575498875974046,-1.1202241317836,-0.239955520268327,37,"Heteromastus filiformis"
2014,0.275133765136581,3551,0.462128060809345,-0.968729736113289,-0.335237659949902,37,"Heteromastus filiformis"
2015,0.278510473235066,1289,0.609859314403288,-0.951862197659023,-0.214770338800893,37,"Heteromastus filiformis"
2008,0.174025974025974,3850,8.96499672685523,-1.55735876338921,0.95255013533613,39,"Arenicola marina"
2009,0.285152636447734,4324,8.73479977935116,-0.919044438967772,0.941252954456953,39,"Arenicola marina"
2010,0.349589683470105,4265,9.86727093221486,-0.620843286110038,0.994197053078214,39,"Arenicola marina"
2011,0.322531202102036,4567,7.24001140866522,-0.742163614670381,0.859739250550247,39,"Arenicola marina"
2012,0.272104607721046,4818,7.74674685382442,-0.983970766376478,0.889119364436655,39,"Arenicola marina"
2013,0.324621397166585,4094,7.5918541168698,-0.73261385524319,0.880347854207545,39,"Arenicola marina"
2014,0.278231484088989,3551,9.09482260204646,-0.953251028616203,0.958794232404044,39,"Arenicola marina"
2015,0.34910783553142,1289,8.82870206207947,-0.622963123702841,0.94589686114161,39,"Arenicola marina"
