"year","occupancy","n","abundance","t_occupancy","t_abundance","tidal_basin_id","tidal_basin","species_id","species"
2008,0.267206477732794,494,144.948778915213,-1.00367939617254,2.17817984042462,1,"Marsdiep",11,"Hediste diversicolor"
2009,0.302904564315353,482,190.196901984679,-0.828596527954614,2.29219232041662,1,"Marsdiep",11,"Hediste diversicolor"
2010,0.358024691358025,486,247.02402051872,-0.579474596585026,2.40277423400984,1,"Marsdiep",11,"Hediste diversicolor"
2011,0.333948339483395,542,185.788766569072,-0.686236303020099,2.28231184619866,1,"Marsdiep",11,"Hediste diversicolor"
2012,0.315051020408163,784,119.234047364043,-0.773655980062008,2.09693911416203,1,"Marsdiep",11,"Hediste diversicolor"
2013,0.427974947807933,479,246.127248515893,-0.285855587925747,2.4012308870763,1,"Marsdiep",11,"Hediste diversicolor"
2014,0.5,410,420.680986104929,0.00487805845343277,2.62987353148806,1,"Marsdiep",11,"Hediste diversicolor"
2015,0.377777777777778,90,199.384180322325,-0.475423696715075,2.31208953462262,1,"Marsdiep",11,"Hediste diversicolor"
2008,0.163967611336032,494,63.5176179283965,-1.62163318552792,1.84068276346683,1,"Marsdiep",16,"Nephtys hombergii"
2009,0.197095435684647,482,65.2381653316997,-1.39800562054079,1.85133476702014,1,"Marsdiep",16,"Nephtys hombergii"
2010,0.0740740740740741,486,163.285189506821,-2.51082359332323,2.228039627489,1,"Marsdiep",16,"Nephtys hombergii"
2011,0.125461254612546,542,60.0360372605977,-1.93331816735795,1.81829430717984,1,"Marsdiep",16,"Nephtys hombergii"
2012,0.153061224489796,784,49.0336762595632,-1.70587910084155,1.73884399541124,1,"Marsdiep",16,"Nephtys hombergii"
2013,0.104384133611691,479,48.7353359329593,-2.13831740175652,1.73647351167783,1,"Marsdiep",16,"Nephtys hombergii"
2014,0.0829268292682927,410,42.4583007500691,-2.38729914716688,1.68334094038455,1,"Marsdiep",16,"Nephtys hombergii"
2015,0.1,90,55.1769206192009,-2.13696538581802,1.78498261322929,1,"Marsdiep",16,"Nephtys hombergii"
