"year","occupancy","n","biomass","t_occupancy","t_biomass","tidal_basin_id","tidal_basin","species_id","species"
2008,0.267206477732794,494,1.88343934386077,-1.00367939617254,0.275151314196688,1,"Marsdiep",11,"Hediste diversicolor"
2009,0.302904564315353,482,2.51307890360979,-0.828596527954614,0.40035578112101,1,"Marsdiep",11,"Hediste diversicolor"
2010,0.358024691358025,486,1.48691972856978,-0.579474596585026,0.172540432059551,1,"Marsdiep",11,"Hediste diversicolor"
2011,0.333948339483395,542,2.41142249152587,-0.686236303020099,0.382429271806968,1,"Marsdiep",11,"Hediste diversicolor"
2012,0.315051020408163,784,1.65720352840378,-0.773655980062008,0.219602777132082,1,"Marsdiep",11,"Hediste diversicolor"
2013,0.427974947807933,479,2.67940040158703,-0.285855587925747,0.428177986505772,1,"Marsdiep",11,"Hediste diversicolor"
2014,0.5,410,3.82840661420679,0.00487805845343277,0.583116302749381,1,"Marsdiep",11,"Hediste diversicolor"
2015,0.377777777777778,90,2.35763326494774,-0.475423696715075,0.372635772727713,1,"Marsdiep",11,"Hediste diversicolor"
2008,0.163967611336032,494,1.30293473778381,-1.62163318552792,0.116075950700127,1,"Marsdiep",16,"Nephtys hombergii"
2009,0.197095435684647,482,1.26349738540345,-1.39800562054079,0.10276358336653,1,"Marsdiep",16,"Nephtys hombergii"
2010,0.0740740740740741,486,2.88193326033885,-2.51082359332323,0.460205705007158,1,"Marsdiep",16,"Nephtys hombergii"
2011,0.125461254612546,542,1.09368082261947,-1.93331816735795,0.0402641944852719,1,"Marsdiep",16,"Nephtys hombergii"
2012,0.153061224489796,784,1.02875612523971,-1.70587910084155,0.0137725735986921,1,"Marsdiep",16,"Nephtys hombergii"
2013,0.104384133611691,479,1.15590515960424,-2.13831740175652,0.0642219672758972,1,"Marsdiep",16,"Nephtys hombergii"
2014,0.0829268292682927,410,1.29680960651275,-2.38729914716688,0.114034946663272,1,"Marsdiep",16,"Nephtys hombergii"
2015,0.1,90,1.87601530105283,-2.13696538581802,0.274037685163834,1,"Marsdiep",16,"Nephtys hombergii"
2008,0.437246963562753,494,0.772672668954949,-0.248230385743945,-0.1119970731647,1,"Marsdiep",20,"Scoloplos armiger"
2009,0.556016597510373,482,0.989853354468739,0.22921408128024,-0.00442338298137002,1,"Marsdiep",20,"Scoloplos armiger"
2010,0.553497942386831,486,1.40549947098652,0.218977842906507,0.147834741569597,1,"Marsdiep",20,"Scoloplos armiger"
2011,0.595940959409594,542,1.52186957765024,0.392413099405311,0.182381180544099,1,"Marsdiep",20,"Scoloplos armiger"
2012,0.623724489795918,784,1.39634888547631,0.508105458878923,0.144998024382077,1,"Marsdiep",20,"Scoloplos armiger"
2013,0.559498956158664,479,1.60428082074015,0.243365260826483,0.205283944156883,1,"Marsdiep",20,"Scoloplos armiger"
2014,0.558536585365854,410,1.01803997207092,0.240172251727664,0.00777042878775947,1,"Marsdiep",20,"Scoloplos armiger"
2015,0.522222222222222,90,1.35515556163349,0.111225635110224,0.131993357536652,1,"Marsdiep",20,"Scoloplos armiger"
2008,0.398785425101215,494,2.36524083356528,-0.406308634096604,0.373989975133992,1,"Marsdiep",29,"Marenzelleria viridis"
2009,0.622406639004149,482,2.17456932823184,0.504192100270357,0.337497912778917,1,"Marsdiep",29,"Marenzelleria viridis"
2010,0.713991769547325,486,1.64792378538042,0.919894339377454,0.217101606600059,1,"Marsdiep",29,"Marenzelleria viridis"
2011,0.619926199261993,542,1.85710751754282,0.493152115148494,0.268983008088529,1,"Marsdiep",29,"Marenzelleria viridis"
2012,0.533163265306122,784,2.07097620818221,0.135410610739697,0.316305998771842,1,"Marsdiep",29,"Marenzelleria viridis"
2013,0.594989561586639,479,2.29826328434462,0.388964516626228,0.361517725667653,1,"Marsdiep",29,"Marenzelleria viridis"
2014,0.380487804878049,410,1.82248019056264,-0.48230781305103,0.26081154930821,1,"Marsdiep",29,"Marenzelleria viridis"
2015,0.655555555555556,90,1.98458525623538,0.668249628938218,0.297806346550356,1,"Marsdiep",29,"Marenzelleria viridis"
2008,0.214574898785425,494,0.404502634545951,-1.29157086364392,-0.389989849893533,1,"Marsdiep",37,"Heteromastus filiformis"
2009,0.350622406639004,482,0.378958469450141,-0.611751542355951,-0.418112170842398,1,"Marsdiep",37,"Heteromastus filiformis"
2010,0.277777777777778,486,0.551865007584301,-0.950389066154889,-0.255900988688381,1,"Marsdiep",37,"Heteromastus filiformis"
2011,0.365313653136531,542,0.524629251747426,-0.548398011535159,-0.277764020668265,1,"Marsdiep",37,"Heteromastus filiformis"
2012,0.353316326530612,784,0.676746234423293,-0.601703390502249,-0.167725286968385,1,"Marsdiep",37,"Heteromastus filiformis"
2013,0.317327766179541,479,0.79760184475164,-0.761265352669019,-0.0966446266121538,1,"Marsdiep",37,"Heteromastus filiformis"
2014,0.358536585365854,410,0.701444485176944,-0.576422906251804,-0.152222795847423,1,"Marsdiep",37,"Heteromastus filiformis"
2015,0.344444444444444,90,0.644117075585435,-0.619039208406224,-0.189092873244135,1,"Marsdiep",37,"Heteromastus filiformis"
2008,0.0829959514170041,494,9.51848826444646,-2.38909433590333,0.978708469086754,1,"Marsdiep",39,"Arenicola marina"
2009,0.153526970954357,482,5.05513088031639,-1.6992418072954,0.70399690069302,1,"Marsdiep",39,"Arenicola marina"
2010,0.220164609053498,486,5.86203579288479,-1.25872522530979,0.768276564154079,1,"Marsdiep",39,"Arenicola marina"
2011,0.190036900369004,542,5.79667599706034,-1.44378819910681,0.7634096958374,1,"Marsdiep",39,"Arenicola marina"
2012,0.20280612244898,784,4.82732419435663,-1.36490740734073,0.683983440607613,1,"Marsdiep",39,"Arenicola marina"
2013,0.281837160751566,479,5.3168249758765,-0.930215471342648,0.725903845778874,1,"Marsdiep",39,"Arenicola marina"
2014,0.224390243902439,410,8.67246829508921,-1.23326917381437,0.938296913846139,1,"Marsdiep",39,"Arenicola marina"
2015,0.222222222222222,90,6.44875342721165,-1.22090186642638,0.809683122197566,1,"Marsdiep",39,"Arenicola marina"
2008,0.11336032388664,494,3.1736505872067,-2.04683606764527,0.502881029561523,1,"Marsdiep",42,"Lanice conchilega"
2009,0.159751037344398,482,2.21621975611986,-1.65237380013925,0.347504582701463,1,"Marsdiep",42,"Lanice conchilega"
2010,0.113168724279835,486,0.886740667567852,-2.0485643031154,-0.0474906698317725,1,"Marsdiep",42,"Lanice conchilega"
2011,0.0811808118081181,542,0.513657051708338,-2.41410636742645,-0.281222851506041,1,"Marsdiep",42,"Lanice conchilega"
